gameid,player,champion,ally_win,player_wr,t_bint,is_main_h,mastery_points,smurf_count_a,smurf_count_e,hotstreak_count_a,hotstreak_count_e,4fun,veteran_count_a,veteran_count_e,inters_count_a,inters_count_e,break_count_a,break_count_e,a_sum_a,a_sum_e,d_sum_a,d_sum_e,m_sum_a,m_sum_e,wr_med_a,wr_min_a,wr_max_a,wr_med_e,wr_min_e,wr_max_e,max_med_kd_a,max_med_kd_e,4fun_a,4fun_e
NA1_3931766940,TL DaBaby,Tristana,TRUE,0.647058824,0.110852709,FALSE,58294,0,0,0,1,FALSE,0,0,0,1,255272,1202716,28,29,27,20,28,21,0.564285714,0.461538462,0.647058824,0.5,0.453333333,0.5875,1.666666667,2,1,0
NA1_3938726110,TL DaBaby,Bard,True,0.6470588235294118,0.11085270916770365,False,62947,0,0,1,1,False,0,0,0,1,80439.0,85800.0,32,24,22,21,17,34,0.5294117647058824,0.4375,0.6470588235294118,0.4803921568627451,0.45098039215686275,0.5270935960591133,4.0,1.8571428571428572,0,0
NA1_3938832532,TheRejectedRat,Zyra,True,,0.09311077970649952,False,50677,0,0,1,2,False,0,0,0,1,85800.0,78533.0,26,32,20,18,32,23,0.5009124087591241,0.4803921568627451,0.5394736842105263,0.5379746835443038,0.4777777777777778,0.5735294117647058,1.8571428571428572,2.75,0,0
NA1_3937546565,lolzch,Kassadin,True,0.4896907216494845,0.05754957099909576,False,17658,0,0,2,1,False,0,0,0,0,78533.0,3043277.0,31,30,23,18,25,32,0.5273972602739726,0.4896907216494845,0.6206896551724138,0.4912663755458515,0.3333333333333333,0.5333333333333333,3.0,2.0,0,0
NA1_3938807497,lavergne,Zed,True,0.5273972602739726,0.1133422744222837,False,37213,0,0,1,0,False,0,0,0,2,91321.0,80403.0,31,33,29,17,17,15,0.49452554744525545,0.4482758620689655,0.5273972602739726,0.4166666666666667,0.08333333333333333,0.5120481927710844,2.5454545454545454,3.0,0,0
NA1_3938811345,lavergne,Garen,True,0.5273972602739726,0.1133422744222837,False,12770,0,0,1,1,False,0,0,0,2,151824.0,257787.0,29,20,23,18,28,26,0.48076044759077413,0.28,0.5273972602739726,0.5210084033613446,0.5180722891566265,0.5510204081632653,2.375,1.4545454545454546,0,0
NA1_3919670993,lavergne,Yasuo,False,0.5273972602739726,0.1133422744222837,False,244388,1,0,2,0,False,0,0,0,1,1285075.0,258014.0,25,26,18,21,34,24,0.5152514251680422,0.5,0.5714285714285714,0.4625,0.4583333333333333,0.4666666666666667,5.2,2.3333333333333335,0,0
NA1_3919636261,lavergne,Yasuo,True,0.5273972602739726,0.1133422744222837,False,244388,1,0,1,0,False,0,0,1,2,1285075.0,514823.0,34,30,23,24,24,22,0.5152514251680422,0.3114754098360656,0.5508021390374331,0.5080645161290323,0.5019011406844106,0.5647058823529412,5.2,2.8333333333333335,1,1
NA1_3938691697,TLDaBaby,Kaisa,True,0.6470588235294118,0.11085270916770365,False,125845,0,0,1,0,False,0,0,1,0,93539.0,6614.0,32,29,25,20,24,25,0.5147058823529411,0.4375,0.6470588235294118,0.5057915057915058,0.45652173913043476,0.5878787878787879,3.5,3.5,0,0
NA1_3938624383,TLDaBaby,Sylas,False,0.6470588235294118,0.11085270916770365,False,9769,0,0,1,1,False,0,0,1,0,93539.0,86355.0,30,23,22,27,25,35,0.5789915966386554,0.5,0.6470588235294118,0.5373134328358209,0.4864864864864865,0.5559440559440559,2.7142857142857144,2.125,0,0
NA1_3938534254,TLDaBaby,Tristana,False,0.6470588235294118,0.11085270916770365,False,58294,0,0,2,1,False,0,0,2,1,68186.0,514741.0,25,23,25,24,31,30,0.5384615384615384,0.42168674698795183,0.6470588235294118,0.4906166219839142,0.4857142857142857,0.5797101449275363,1.4,1.625,0,0
NA1_3938782524,StealSmite,Ezreal,False,0.5294117647058824,0.08917914019010137,False,13778,0,0,1,0,False,0,0,0,0,77671.0,2915381.0,30,30,24,20,30,18,0.5294117647058824,0.4375,0.6470588235294118,0.5269607843137255,0.47058823529411764,0.5833333333333334,3.5,0.9090909090909091,0,1
NA1_3938624383,StealSmite,Nautilus,False,0.5294117647058824,0.08917914019010137,False,61195,0,0,1,1,False,0,0,1,0,93539.0,86355.0,30,23,22,27,25,35,0.5789915966386554,0.5,0.6470588235294118,0.5373134328358209,0.4864864864864865,0.5559440559440559,2.7142857142857144,2.125,0,0
NA1_3938638701,StealSmite,Ezreal,False,0.5294117647058824,0.08917914019010137,False,13778,0,0,1,1,False,0,0,1,0,93539.0,510638.0,23,29,23,30,28,25,0.5147058823529411,0.4375,0.6470588235294118,0.5656565656565656,0.5145631067961165,0.5729166666666666,4.0,2.625,0,0
NA1_3938691697,Osakana373,Vladimir,True,,0.06645688362736202,False,33996,0,0,1,0,False,0,0,1,0,93539.0,6614.0,32,29,25,20,24,25,0.5147058823529411,0.4375,0.6470588235294118,0.5057915057915058,0.45652173913043476,0.5878787878787879,3.5,3.5,0,0
NA1_3936251718,Osakana373,Gnar,False,,0.06645688362736202,False,57014,0,1,2,2,False,0,0,3,0,93539.0,165496.0,30,27,25,29,24,23,0.5384615384615384,0.5,0.6470588235294118,0.49736842105263157,0.4878048780487805,0.5454545454545454,2.2857142857142856,6.75,0,0
NA1_3938691697,Dumpringz,MasterYi,True,0.4375,0.13332080830994603,False,76966,0,0,1,0,False,0,0,1,0,93539.0,6614.0,32,29,25,20,24,25,0.5147058823529411,0.4375,0.6470588235294118,0.5057915057915058,0.45652173913043476,0.5878787878787879,3.5,3.5,0,0
NA1_3938638701,Yumbo02,Ivern,False,0.5,0.0735040107671762,False,14183,0,0,1,1,False,0,0,1,0,93539.0,510638.0,23,29,23,30,28,25,0.5147058823529411,0.4375,0.6470588235294118,0.5656565656565656,0.5145631067961165,0.5729166666666666,4.0,2.625,0,0
NA1_3938624383,Yumbo02,Kennen,False,0.5,0.0735040107671762,False,20452,0,0,1,1,False,0,0,1,0,93539.0,86355.0,30,23,22,27,25,35,0.5789915966386554,0.5,0.6470588235294118,0.5373134328358209,0.4864864864864865,0.5559440559440559,2.7142857142857144,2.125,0,0
NA1_3938718809,FloodVomit,Volibear,True,0.45652173913043476,0.07122400329419701,False,30267,0,0,0,1,False,0,0,0,0,247470.0,86855.0,32,34,25,27,26,24,0.4791666666666667,0.4470588235294118,0.5546218487394958,0.5086206896551724,0.5074626865671642,0.5625,3.5,3.5,0,1
NA1_3938658345,FloodVomit,Zac,True,0.45652173913043476,0.07122400329419701,False,405823,0,0,0,0,False,0,0,0,0,247470.0,167593.0,22,23,20,20,31,34,0.504950495049505,0.45652173913043476,0.5546218487394958,0.48314606741573035,0.425,0.7272727272727273,3.5,2.0,0,0
NA1_3938489765,SemperFidelis16,Swain,False,,0.11458814927059964,False,61060,0,0,1,1,False,0,1,3,0,514741.0,130525.0,32,29,21,24,21,31,0.5689655172413793,0.4918032786885246,0.6129032258064516,0.5236455463728191,0.46747967479674796,0.8,1.625,2.25,0,0
NA1_3938485311,SemperFidelis16,Lux,False,,0.11458814927059964,False,51340,0,0,0,0,False,0,0,2,0,514741.0,45686.0,24,24,17,26,31,31,0.47629772629772626,0.46846846846846846,0.48412698412698413,0.5441035474592522,0.5094339622641509,0.696969696969697,1.625,3.0,0,0
NA1_3938408794,JeffRegular,Morgana,True,,0.07207452013594028,False,31620,0,0,1,1,False,0,0,0,2,163133.0,321269.0,26,31,23,22,31,16,0.5333333333333333,0.4514285714285714,0.5714285714285714,0.5275157232704403,0.45555555555555555,0.6153846153846154,3.0,1.3636363636363635,0,0
NA1_3938411609,JeffRegular,Senna,False,,0.07207452013594028,False,801,0,0,0,0,False,0,0,2,0,7678.0,787924.0,36,23,20,18,24,30,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5176991150442478,0.5176991150442478,0.5176991150442478,3.0,3.0,0,0
NA1_3938325830,JeffRegular,Xerath,False,,0.07207452013594028,False,33294,0,0,0,1,False,0,0,2,0,245857.0,80866.0,18,36,13,17,40,27,0.49382716049382713,0.484375,0.5714285714285714,0.5616438356164384,0.38095238095238093,0.5714285714285714,3.0,1.5714285714285714,0,0
