gameid,player
NA1_3938838278,Ameterasoo
NA1_3938822863,Ameterasoo
NA1_3938717861,Ameterasoo
NA1_3938712756,Ameterasoo
NA1_3825765196,Ameterasoo
NA1_3942050755,Blackbeard178
NA1_3940524478,Blackbeard178
NA1_3940111141,Blackbeard178
NA1_3939820446,Blackbeard178
NA1_3938880148,Blackbeard178
NA1_3941502889,Nukesoup27
NA1_3941459325,Nukesoup27
NA1_3941463791,Nukesoup27
NA1_3940916459,Nukesoup27
NA1_3940924619,Nukesoup27
NA1_3941679059,Dunnojustarandom
NA1_3941683773,Dunnojustarandom
NA1_3941638510,Dunnojustarandom
NA1_3939736623,Dunnojustarandom
NA1_3939820446,Dunnojustarandom
NA1_3941502889,Snowflake28
NA1_3941459325,Snowflake28
NA1_3941463791,Snowflake28
NA1_3940916459,Snowflake28
NA1_3940924619,Snowflake28
NA1_3941906160,YouDieISmile
NA1_3941181683,YouDieISmile
NA1_3941089574,YouDieISmile
NA1_3941116143,YouDieISmile
NA1_3941140274,YouDieISmile
NA1_3942462045,moongirl
NA1_3941212124,moongirl
NA1_3941149688,moongirl
NA1_3938908597,moongirl
NA1_3938886313,moongirl
NA1_3941943136,raiwho
NA1_3941848323,raiwho
NA1_3941837621,raiwho
NA1_3941068406,raiwho
NA1_3939586037,raiwho
NA1_3942462045,KalleDemos
NA1_3942367157,KalleDemos
NA1_3941212124,KalleDemos
NA1_3941149688,KalleDemos
NA1_3940877231,KalleDemos
NA1_3942462045,Diiax
NA1_3941212124,Diiax
NA1_3941149688,Diiax
NA1_3938908597,Diiax
NA1_3938886313,Diiax
NA1_3942079250,PortfolioB
NA1_3942034131,PortfolioB
NA1_3941896525,PortfolioB
NA1_3941882804,PortfolioB
NA1_3941502914,PortfolioB
NA1_3942079250,Mariiinka
NA1_3942034131,Mariiinka
NA1_3941896525,Mariiinka
NA1_3941882804,Mariiinka
NA1_3939911541,Mariiinka
NA1_3938822863,DavidTheAsian1
NA1_3938757566,DavidTheAsian1
NA1_3937459118,DavidTheAsian1
NA1_3936312158,DavidTheAsian1
NA1_3935271050,DavidTheAsian1
NA1_3939924821,EasternRatLord
NA1_3939789479,EasternRatLord
NA1_3939734452,EasternRatLord
NA1_3938809560,EasternRatLord
NA1_3938822863,EasternRatLord
NA1_3941871267,gabus
NA1_3941803821,gabus
NA1_3941737328,gabus
NA1_3940023893,gabus
NA1_3939924821,gabus
NA1_3942279414,1epk1
NA1_3941401555,1epk1
NA1_3941075139,1epk1
NA1_3941011532,1epk1
NA1_3939789479,1epk1
NA1_3938822863,Noodles2Doodlez
NA1_3938757566,Noodles2Doodlez
NA1_3937543989,Noodles2Doodlez
NA1_3937459118,Noodles2Doodlez
NA1_3936312158,Noodles2Doodlez
NA1_3939736623,EnderBoy4eva
NA1_3939820446,EnderBoy4eva
NA1_3939297607,EnderBoy4eva
NA1_3939302750,EnderBoy4eva
NA1_3938612427,EnderBoy4eva
NA1_3940461645,GlowingMidnight
NA1_3935204931,GlowingMidnight
NA1_3935178109,GlowingMidnight
NA1_3935136407,GlowingMidnight
NA1_3934895140,GlowingMidnight
NA1_3941768127,BlobityBlob
NA1_3941065246,BlobityBlob
NA1_3941008879,BlobityBlob
NA1_3940966790,BlobityBlob
NA1_3940469609,BlobityBlob
NA1_3942456361,sloppeey
NA1_3942453636,sloppeey
NA1_3935856714,sloppeey
NA1_3935455252,sloppeey
NA1_3935424119,sloppeey
NA1_3941537639,Condusion
NA1_3941464679,Condusion
NA1_3941462199,Condusion
NA1_3941439942,Condusion
NA1_3941368395,Condusion
NA1_3941631337,iEnvyEthereal
NA1_3941537639,iEnvyEthereal
NA1_3941404947,iEnvyEthereal
NA1_3941373724,iEnvyEthereal
NA1_3941381292,iEnvyEthereal
NA1_3942233337,TripleShcke
NA1_3942036543,TripleShcke
NA1_3942059742,TripleShcke
NA1_3941703543,TripleShcke
NA1_3941672078,TripleShcke
NA1_3941766751,killergator3
NA1_3941711312,killergator3
NA1_3941608312,killergator3
NA1_3941495524,killergator3
NA1_3941444055,killergator3
NA1_3942247579,Kreinashtoo
NA1_3942099187,Kreinashtoo
NA1_3942056029,Kreinashtoo
NA1_3942050138,Kreinashtoo
NA1_3941605567,Kreinashtoo
NA1_3941437095,GhostSniperz
NA1_3941482985,GhostSniperz
NA1_3935192035,GhostSniperz
NA1_3935097313,GhostSniperz
NA1_3934999738,GhostSniperz
NA1_3940903659,kidroN
NA1_3940818874,kidroN
NA1_3940831607,kidroN
NA1_3940787855,kidroN
NA1_3940715372,kidroN
NA1_3941300591,ScottKnightly
NA1_3940660972,ScottKnightly
NA1_3940640765,ScottKnightly
NA1_3938502196,ScottKnightly
NA1_3938465069,ScottKnightly
