gameid,player
NA1_3937016725,Cibreca
NA1_3937005068,Cibreca
NA1_3936649033,Cibreca
NA1_3934460153,Cibreca
NA1_3930864313,Cibreca
NA1_3939976224,richsean1725
NA1_3939952302,richsean1725
NA1_3939468717,richsean1725
NA1_3938697645,richsean1725
NA1_3938643410,richsean1725
NA1_3939453099,Huphhh
NA1_3939339337,Huphhh
NA1_3939376438,Huphhh
NA1_3938360795,Huphhh
NA1_3938307745,Huphhh
NA1_3942475236,YeongDuck
NA1_3942424194,YeongDuck
NA1_3942461622,YeongDuck
NA1_3942220070,YeongDuck
NA1_3941927114,YeongDuck
NA1_3940113646,BloodiedHound
NA1_3940085183,BloodiedHound
NA1_3939074283,BloodiedHound
NA1_3937442046,BloodiedHound
NA1_3937016725,BloodiedHound
NA1_3941209452,ShrunkenPlum
NA1_3941178122,ShrunkenPlum
NA1_3941166816,ShrunkenPlum
NA1_3941172626,ShrunkenPlum
NA1_3939336707,ShrunkenPlum
NA1_3941580574,KYOSHID
NA1_3941488034,KYOSHID
NA1_3941464869,KYOSHID
NA1_3941096905,KYOSHID
NA1_3941121757,KYOSHID
NA1_3941729890,letzreck
NA1_3941685402,letzreck
NA1_3941672962,letzreck
NA1_3941640509,letzreck
NA1_3941591097,letzreck
NA1_3939420498,coochieking
NA1_3939396712,coochieking
NA1_3939241886,coochieking
NA1_3939157878,coochieking
NA1_3939184909,coochieking
NA1_3942275048,PandaParade
NA1_3941017500,PandaParade
NA1_3940956894,PandaParade
NA1_3940941976,PandaParade
NA1_3939361265,PandaParade
NA1_3941602164,BobbyFlo
NA1_3941566440,BobbyFlo
NA1_3941522182,BobbyFlo
NA1_3940633939,BobbyFlo
NA1_3940578025,BobbyFlo
NA1_3942040422,Sewz
NA1_3941922145,Sewz
NA1_3941816667,Sewz
NA1_3941776749,Sewz
NA1_3941714091,Sewz
NA1_3940146889,MidWeekAnimal
NA1_3938977045,MidWeekAnimal
NA1_3938924615,MidWeekAnimal
NA1_3938931692,MidWeekAnimal
NA1_3938415310,MidWeekAnimal
NA1_3941444249,Fauxhound
NA1_3941423857,Fauxhound
NA1_3940641018,Fauxhound
NA1_3940527728,Fauxhound
NA1_3940559983,Fauxhound
NA1_3942326658,alohabroha
NA1_3942340570,alohabroha
NA1_3941219704,alohabroha
NA1_3939569197,alohabroha
NA1_3937005068,alohabroha
NA1_3941069249,HuuuuugeSeolJihu
NA1_3941023951,HuuuuugeSeolJihu
NA1_3940951780,HuuuuugeSeolJihu
NA1_3940556924,HuuuuugeSeolJihu
NA1_3940439186,HuuuuugeSeolJihu
NA1_3940983831,XDoggyX
NA1_3940929716,XDoggyX
NA1_3940903547,XDoggyX
NA1_3940823440,XDoggyX
NA1_3940767907,XDoggyX
NA1_3937085631,tmpslc
NA1_3937081331,tmpslc
NA1_3937024251,tmpslc
NA1_3936951864,tmpslc
NA1_3936885825,tmpslc
NA1_3940476483,ChinaMonkey
NA1_3940493754,ChinaMonkey
NA1_3940449405,ChinaMonkey
NA1_3940387149,ChinaMonkey
NA1_3940384549,ChinaMonkey
NA1_3939135172,CannibalCorpse
NA1_3939122835,CannibalCorpse
NA1_3936753308,CannibalCorpse
NA1_3936721766,CannibalCorpse
NA1_3936649033,CannibalCorpse
NA1_3939135172,Quill239
NA1_3939122835,Quill239
NA1_3936753308,Quill239
NA1_3936721766,Quill239
NA1_3936649033,Quill239
NA1_3941763941,HacksonJackson
NA1_3941641580,HacksonJackson
NA1_3941226542,HacksonJackson
NA1_3941283216,HacksonJackson
NA1_3937853240,HacksonJackson
NA1_3941796676,Lyf198335
NA1_3941121141,Lyf198335
NA1_3941076493,Lyf198335
NA1_3941073280,Lyf198335
NA1_3941019932,Lyf198335
NA1_3941734896,RogueNurse23
NA1_3938368985,RogueNurse23
NA1_3938363909,RogueNurse23
NA1_3938389981,RogueNurse23
NA1_3938316144,RogueNurse23
NA1_3942042240,ICOUNT6SHOTS
NA1_3941899466,ICOUNT6SHOTS
NA1_3941894559,ICOUNT6SHOTS
NA1_3940968514,ICOUNT6SHOTS
NA1_3940972966,ICOUNT6SHOTS
NA1_3942549061,Jimmygriff
NA1_3942508303,Jimmygriff
NA1_3942496975,Jimmygriff
NA1_3942494989,Jimmygriff
NA1_3942035617,Jimmygriff
NA1_3942551872,Fyrnn
NA1_3941833698,Fyrnn
NA1_3941728563,Fyrnn
NA1_3941714982,Fyrnn
NA1_3941719736,Fyrnn
NA1_3941574337,Gregarious13
NA1_3941564114,Gregarious13
NA1_3941552367,Gregarious13
NA1_3941448556,Gregarious13
NA1_3940752710,Gregarious13
NA1_3941829459,softboy69
NA1_3940468812,softboy69
NA1_3940484615,softboy69
NA1_3940511399,softboy69
NA1_3940469964,softboy69
NA1_3940484615,charvady
NA1_3940511399,charvady
NA1_3940469964,charvady
NA1_3939192393,charvady
NA1_3939139245,charvady
NA1_3940134543,Bughug
NA1_3940101718,Bughug
NA1_3939974465,Bughug
NA1_3939311273,Bughug
NA1_3939084337,Bughug
NA1_3942527374,OGTripleTriple
NA1_3941796087,OGTripleTriple
NA1_3941778403,OGTripleTriple
NA1_3941715310,OGTripleTriple
NA1_3941730596,OGTripleTriple
NA1_3941669357,BrádTheBard
NA1_3940728020,BrádTheBard
NA1_3940546024,BrádTheBard
NA1_3939578376,BrádTheBard
NA1_3939510421,BrádTheBard
NA1_3941734585,marisa0385
NA1_3941697435,marisa0385
NA1_3935907242,marisa0385
NA1_3934614575,marisa0385
NA1_3934549129,marisa0385
NA1_3941734585,deadbodybags
NA1_3941697435,deadbodybags
NA1_3941643134,deadbodybags
NA1_3941638213,deadbodybags
NA1_3940783563,deadbodybags
NA1_3941471406,pxlkwbbtj
NA1_3941459768,pxlkwbbtj
NA1_3941416035,pxlkwbbtj
NA1_3940581891,pxlkwbbtj
NA1_3940517576,pxlkwbbtj
NA1_3942488150,Hubsap
NA1_3942535694,Hubsap
NA1_3942523981,Hubsap
NA1_3941831511,Hubsap
NA1_3941299068,Hubsap
NA1_3935531593,StolenAffection
NA1_3930864313,StolenAffection
NA1_3930921444,StolenAffection
NA1_3930808840,StolenAffection
NA1_3930836845,StolenAffection
NA1_3942529538,DaftSword
NA1_3942546852,DaftSword
NA1_3942516239,DaftSword
NA1_3942534292,DaftSword
NA1_3942493946,DaftSword
NA1_3942349167,ANTIQUEGUN
NA1_3942345351,ANTIQUEGUN
NA1_3942340840,ANTIQUEGUN
NA1_3942275620,ANTIQUEGUN
NA1_3942279900,ANTIQUEGUN
NA1_3942344143,BanHammer4U
NA1_3942268983,BanHammer4U
NA1_3942284367,BanHammer4U
NA1_3942232651,BanHammer4U
NA1_3941838808,BanHammer4U
NA1_3940061818,Woolly
NA1_3939948559,Woolly
NA1_3937640102,Woolly
NA1_3937554571,Woolly
NA1_3937521021,Woolly
NA1_3941598166,Season2Strats
NA1_3940552255,Season2Strats
NA1_3940021325,Season2Strats
NA1_3939791636,Season2Strats
NA1_3939568570,Season2Strats
NA1_3934796495,Xcaliber600
NA1_3934566694,Xcaliber600
NA1_3934571905,Xcaliber600
NA1_3934447009,Xcaliber600
NA1_3934442367,Xcaliber600
NA1_3940963030,CowardFightMe
NA1_3940897027,CowardFightMe
NA1_3940910556,CowardFightMe
NA1_3940030244,CowardFightMe
NA1_3939932938,CowardFightMe
NA1_3935051420,Bledivien
NA1_3934944020,Bledivien
NA1_3934838532,Bledivien
NA1_3934834934,Bledivien
NA1_3931325974,Bledivien
NA1_3941477911,lordslothmaster
NA1_3941170233,lordslothmaster
NA1_3941086285,lordslothmaster
NA1_3941120643,lordslothmaster
NA1_3941045613,lordslothmaster
NA1_3941597043,Cr4zyNightmare
NA1_3941633020,Cr4zyNightmare
NA1_3940571628,Cr4zyNightmare
NA1_3936244230,Cr4zyNightmare
NA1_3936180235,Cr4zyNightmare
NA1_3941829187,Cr4zyDreamer
NA1_3941833901,Cr4zyDreamer
NA1_3941769251,Cr4zyDreamer
NA1_3941726257,Cr4zyDreamer
NA1_3941681029,Cr4zyDreamer
NA1_3939756818,procrastinadian
NA1_3939780128,procrastinadian
NA1_3939560955,procrastinadian
NA1_3939362803,procrastinadian
NA1_3936997520,procrastinadian
NA1_3941449205,DireBat
NA1_3940663886,DireBat
NA1_3940719795,DireBat
NA1_3940607180,DireBat
NA1_3940651627,DireBat
NA1_3939311825,TGaODe
NA1_3939258920,TGaODe
NA1_3942533588,DeadlyJester
NA1_3942483382,DeadlyJester
NA1_3942491607,DeadlyJester
NA1_3941921595,DeadlyJester
NA1_3941685389,DeadlyJester
NA1_3941397746,0Zone
NA1_3941422594,0Zone
NA1_3941302921,0Zone
NA1_3940830637,0Zone
NA1_3940526263,0Zone
NA1_3940595706,Rempool
NA1_3940601980,Rempool
